V1	V2
20.699163	-32.087814
21.016848	-30.33499
20.948565	-32.259747
21.766716	-31.381174
20.76475	-31.017927
22.427992	-32.63727
22.949692	-33.08617
24.3904	-29.491892
24.079473	-33.514732
21.991932	-33.25539
22.038372	-33.905983
24.262037	-31.728836
18.99306	31.8207
20.007818	-30.57056
23.247921	-31.457138
22.790436	-30.5305
22.413849	-32.29309
21.22551	-31.15423
21.97595	-31.145151
23.170519	-31.211508
22.251379	-30.198814
21.75642	-30.95687
19.990782	-29.220392
21.335289	-29.752184
19.798508	-29.342472
22.389063	-30.022942
20.27996	-30.690933
21.069876	-29.542791
20.97857	-30.98722
22.712564	-30.846888
19.493395	-29.699934
21.080418	-31.649536
23.157	-32.04696
23.755524	-31.231222
21.957102	-29.901262
22.266356	-31.791151
21.500307	-31.440468
20.781885	-31.799015
22.10292	-31.872433
21.854704	-31.859106
19.160326	-30.185877
21.108036	-33.5699
22.761734	-32.241615
23.209587	-34.93974
24.063463	-33.03818
21.287214	-32.95682
20.208372	-31.737759
22.28127	-34.5544
21.562584	-33.203568
22.06434	-31.569033
21.9498	-31.023834
19.88335	-29.447777
23.079357	-29.629196
20.758852	-30.194477
20.454077	-30.784414
19.60197	-31.082102
20.25872	-30.209955
23.366327	-33.72668
24.54476	-33.97164
22.864561	-32.977245
23.318188	-34.229977
21.339935	-33.78991
19.55644	-31.459026
22.851248	-31.121176
22.507362	-34.09552
21.378868	-31.333042
20.440126	-30.657955
19.399675	-30.08943
21.900528	-30.21278
19.97708	-30.072021
19.96494	-30.354052
19.815388	-30.354582
22.211472	-32.411568
24.061213	-32.607048
24.017778	-34.119648
23.147684	-34.56536
22.018162	-34.456673
22.30492	-34.66949
22.656979	-32.534145
23.141054	-30.064726
22.731703	-31.140865
19.386314	-29.951725
22.975346	-31.032267
22.932062	-30.748562
21.653261	-32.140728
22.205618	-30.91652
22.8367	-31.374819
20.468557	-32.288403
21.701145	-30.691973
22.390085	-31.01099
20.23423	-32.669514
21.60066	-30.654491
21.082373	-30.177078
19.733803	-31.444176
23.852858	-34.121162
24.015217	-33.598682
22.788841	-33.563396
21.914417	-31.778885
23.676617	-34.10509
23.068768	-32.69182
22.94677	-34.33943
21.523184	-33.477837
23.988525	-32.855465
22.183971	-33.984608
22.187933	-33.580555
23.129982	-31.590021
19.83572	-31.601295
21.516964	-32.674965
23.67964	-33.835526
22.197008	-33.408306
19.899967	-30.788664
21.901989	-34.134556
21.62927	-34.514206
22.271254	-33.70468
21.319427	-30.57585
21.064661	-32.484585
23.530018	-32.721737
22.160355	-33.07227
23.248125	-33.403355
20.555502	-32.002197
21.179768	-30.19341
20.773293	-31.703558
20.700857	-30.024374
21.981644	-33.057766
21.658298	-30.98467
21.349463	-30.633093
22.951803	-32.84031
24.033394	-32.303608
23.289875	-33.24607
23.958	-33.623016
24.22707	-32.157326
21.647835	-32.09428
23.503555	-32.300095
20.755543	-30.13781
21.749641	-31.285547
23.813025	-31.762728
21.529568	-30.60969
22.790197	-33.473793
21.365501	-34.47359
22.239208	-30.342253
19.756279	-30.956282
23.366362	-30.673576
23.44333	-31.466972
22.48239	-30.768282
22.718927	-31.14933
19.719057	-29.603136
21.291933	-30.484488
20.682623	-29.769585
