V1	V2	Bin
-56.954277	14.486217	bin_1
-57.72218	14.254029	bin_1
-55.71544	18.127079	bin_1
-58.572533	15.722254	bin_1
-55.30201	15.443123	bin_1
-7.230065	-33.427464	bin_2
-4.0946274	-36.317326	bin_2
-59.39145	13.6869545	bin_1
-4.5923996	-35.425755	bin_2
-5.845494	-29.082903	bin_2
-59.28039	14.56571	bin_1
-4.526107	-35.562164	bin_2
-54.093826	13.003537	bin_1
-4.7378354	-36.042118	bin_2
-57.485435	14.881531	bin_1
-2.0889611	-35.678047	bin_2
-2.6056943	-30.80804	bin_2
-4.7182198	-34.807316	bin_2
-59.881096	9.824861	bin_1
-5.3823166	-29.0526	bin_2
-5.824415	-29.750141	bin_2
-55.52499	13.961106	bin_1
-7.2859735	-28.776562	bin_2
-3.867683	-29.32624	bin_2
-58.772697	14.617961	bin_1
-5.6377153	-35.747574	bin_2
19.101233	24.59728	bin_3
-6.296095	-35.832153	bin_2
-58.309326	16.154886	bin_1
24.258917	23.62422	bin_3
-7.0364995	-27.392084	bin_2
17.72567	24.880178	bin_3
-4.289529	-37.281796	bin_2
-2.9705997	-34.99869	bin_2
-56.64408	18.104836	bin_1
19.168678	24.665228	bin_3
-4.574072	-32.59187	bin_2
23.733759	24.932999	bin_3
-4.986088	-35.407578	bin_2
-55.373043	12.816834	bin_1
18.190933	24.465218	bin_3
-8.50882	-31.872633	bin_2
19.412455	22.924873	bin_3
-5.8766613	-28.0977	bin_2
-60.37102	13.867893	bin_1
-7.9820986	-32.355686	bin_2
19.308628	23.070414	bin_3
-1.5587037	-33.13902	bin_2
-55.60459	16.980915	bin_1
24.050482	24.426569	bin_3
-9.551478	-30.154522	bin_2
-4.9053373	-36.483604	bin_2
-59.03253	11.551071	bin_1
-6.2243214	-33.063625	bin_2
-3.9204555	-33.603104	bin_2
-56.700794	12.401068	bin_1
-6.4412847	-32.501728	bin_2
19.499523	24.742031	bin_3
-26.580389	-10.2085	bin_2
-5.321898	-36.552135	bin_2
-56.4874	11.792034	bin_1
-9.781663	-31.202759	bin_2
-64.08983	-5.1387544	bin_4
25.1375	24.240803	bin_3
-3.1931705	-33.706573	bin_2
-6.838908	-32.74629	bin_2
-63.442062	-4.0689063	bin_4
-0.9176075	-32.51426	bin_2
-55.41746	17.441038	bin_1
-1.318556	-31.145464	bin_2
-64.37987	-5.158197	bin_4
24.446928	25.5676	bin_3
-9.771732	-31.273174	bin_2
-3.3487668	-29.714046	bin_2
-63.64412	-5.0387573	bin_4
-54.863453	15.18565	bin_1
-1.9173092	-36.333813	bin_2
18.783022	24.99458	bin_3
-17.161667	-42.377174	bin_2
-66.49959	-5.7604737	bin_4
-57.61297	15.526609	bin_1
-26.478779	-11.503065	bin_2
-2.304861	-34.72122	bin_2
-63.73439	-2.092281	bin_4
20.20696	22.69785	bin_3
-9.746795	-31.466522	bin_2
-58.6014	14.082427	bin_1
-6.554299	-35.277866	bin_2
-63.99117	-4.1060624	bin_4
-5.265988	-37.247425	bin_2
32.697216	36.806316	bin_5
-3.9218526	-15.240791	bin_2
23.993305	26.294987	bin_3
-3.0546043	-31.16247	bin_2
-55.72358	12.288323	bin_1
-66.127716	-3.562839	bin_4
34.474033	34.75098	bin_5
18.612562	23.772766	bin_3
-1.9547911	-29.114584	bin_2
30.325365	36.329014	bin_5
-14.631428	-15.065073	bin_2
-67.811646	-2.377317	bin_4
24.254387	23.678705	bin_3
-4.2560015	-32.536095	bin_2
-54.475933	12.939541	bin_1
26.873875	38.832035	bin_5
-7.791931	-34.612675	bin_2
-66.500175	-4.775985	bin_4
19.71825	23.834423	bin_3
30.457747	43.028767	bin_5
-21.543322	-35.80834	bin_2
19.862137	24.843903	bin_3
-8.677328	-30.888393	bin_2
-66.77514	-4.6826787	bin_4
33.408924	34.78862	bin_5
-8.26215	-26.414854	bin_2
-57.904804	11.086382	bin_1
32.30972	39.68533	bin_5
-5.4307084	-29.925453	bin_2
20.82539	24.508083	bin_3
-1.7493805	-35.57578	bin_2
-56.03185	8.153423	bin_1
20.610323	32.109417	bin_5
-9.358646	-30.950977	bin_2
-66.74744	-4.130998	bin_4
-7.259489	-34.747673	bin_2
-56.913254	12.68967	bin_1
23.436256	25.99829	bin_3
-9.446314	-31.11942	bin_2
36.50995	40.98406	bin_5
-3.2630396	-32.144455	bin_2
22.93106	24.232283	bin_3
35.672256	36.537693	bin_5
-63.906796	-2.9163167	bin_4
-57.92064	13.993436	bin_1
-8.27916	-32.064034	bin_2
26.71425	37.46291	bin_5
20.55077	23.631151	bin_3
-4.476073	-31.257635	bin_2
-1.5120885	-30.64095	bin_2
19.061785	23.5382	bin_3
36.738274	40.363335	bin_5
-57.66143	12.31395	bin_1
-67.10024	-6.3076925	bin_4
-5.674172	-29.184412	bin_2
23.542841	22.805878	bin_3
-6.2952094	-32.140625	bin_2
37.521023	40.20275	bin_5
-57.193897	11.837756	bin_1
-3.812962	-34.620277	bin_2
18.752457	24.709736	bin_3
-66.98452	-5.0973434	bin_4
-7.7658725	-33.13901	bin_2
36.110363	38.62519	bin_5
-55.526966	17.223484	bin_1
-4.8629456	-36.204082	bin_2
23.171127	26.397242	bin_3
-5.5894003	-31.725426	bin_2
34.343628	37.178654	bin_5
24.477238	24.701305	bin_3
-7.3607836	-33.549263	bin_2
-58.59933	10.734158	bin_1
-66.05705	-1.7401726	bin_4
-4.056424	-29.864607	bin_2
23.778864	23.848389	bin_3
33.786797	41.030834	bin_5
-9.145339	-30.585339	bin_2
17.24962	24.668116	bin_3
0.4770778	-33.555927	bin_2
27.32272	40.94931	bin_5
-64.3909	-6.50989	bin_4
-3.382708	-36.51415	bin_2
-59.359318	14.221736	bin_1
18.312086	24.50343	bin_3
32.422287	35.407406	bin_5
-8.468087	-29.822144	bin_2
23.480156	25.40644	bin_3
-68.58239	-2.5429628	bin_4
-7.5851245	-28.174393	bin_2
28.758541	36.996853	bin_5
-0.63667077	-33.451015	bin_2
18.633387	24.392918	bin_3
-6.9236283	-32.3538	bin_2
32.71075	37.63079	bin_5
-67.425385	-1.5963029	bin_4
-55.811275	14.93029	bin_1
2.4415207	6.1346946	bin_6
-3.7732134	-29.515299	bin_2
20.68036	24.89258	bin_3
31.062243	43.036083	bin_5
-9.014416	-31.478132	bin_2
21.23062	25.190056	bin_3
2.3055825	8.081419	bin_6
-3.9686635	-30.766865	bin_2
32.90016	38.203278	bin_5
-67.55037	-0.6873239	bin_4
-56.17072	18.4604	bin_1
24.849413	25.433475	bin_3
-3.131727	-36.491558	bin_2
32.380943	44.597313	bin_5
-2.3046255	-36.51908	bin_2
20.173512	23.1303	bin_3
-65.478	-1.8273544	bin_4
35.61556	42.470737	bin_5
-3.0313795	-29.707445	bin_2
-56.04627	13.082376	bin_1
18.321234	23.538774	bin_3
28.689423	41.630245	bin_5
-6.7596006	-31.387495	bin_2
8.890931	-26.28399	bin_6
-68.95108	-4.021101	bin_4
19.863655	24.688147	bin_3
31.540411	38.08231	bin_5
-5.8327394	-34.18764	bin_2
-57.726128	12.004341	bin_1
9.675298	-25.460896	bin_6
18.294716	24.101357	bin_3
-62.60792	-3.2272208	bin_4
-3.0852094	-30.061878	bin_2
35.360775	39.161774	bin_5
-2.0736716	-36.849014	bin_2
20.90856	25.829157	bin_3
-55.35831	11.76434	bin_1
38.46289	42.634266	bin_5
-66.85327	-1.7216266	bin_4
10.750902	-26.526934	bin_6
-9.466264	-31.162054	bin_2
20.106714	23.799372	bin_3
35.27059	41.45459	bin_5
-6.3049116	-34.82322	bin_2
17.07283	23.121666	bin_3
-63.28591	-4.8239064	bin_4
0.40318307	-34.378597	bin_2
10.136708	-26.807705	bin_6
-55.30106	13.838209	bin_1
-5.909392	-31.850489	bin_2
30.505878	39.91755	bin_5
20.11725	24.260931	bin_3
-2.9758952	-32.094997	bin_2
-65.0156	-2.2997746	bin_4
10.80563	-24.850395	bin_6
29.484776	44.00482	bin_5
-17.417694	-36.424286	bin_2
-56.413395	13.035648	bin_1
20.299238	23.074017	bin_3
-6.507785	-30.922552	bin_2
-66.66515	-4.8106403	bin_4
11.257253	-26.363579	bin_6
27.757786	37.98322	bin_5
-4.186712	-29.829704	bin_2
32.833508	38.2498	bin_5
-3.1615746	-31.665083	bin_2
-57.319286	16.775946	bin_1
11.731816	-25.59809	bin_6
-67.1133	-5.4807296	bin_4
18.865772	25.082253	bin_3
-7.460985	-29.542492	bin_2
32.196995	41.898666	bin_5
2.4757245	-45.451748	bin_7
-8.816763	-30.96018	bin_2
19.227907	24.40298	bin_3
-65.28679	-5.9518514	bin_4
11.604285	-25.966188	bin_6
36.549732	45.746586	bin_5
-55.109974	15.069506	bin_1
-3.8451855	-34.721214	bin_2
18.516512	24.72442	bin_3
-0.89552885	-34.218346	bin_2
37.968334	41.877655	bin_5
-67.7541	-3.0243847	bin_4
11.86486	-26.670622	bin_6
-0.6659707	-31.396912	bin_2
2.9107025	-45.500553	bin_7
18.010519	23.869112	bin_3
-55.954742	15.736374	bin_1
15.972061	16.061108	bin_5
0.73910266	-32.810745	bin_2
-67.23356	-3.966935	bin_4
10.873224	-25.927473	bin_6
18.94595	25.008978	bin_3
-0.4659781	-29.971754	bin_2
30.409237	36.09781	bin_5
3.6924365	-46.525307	bin_7
-3.3832772	-35.218105	bin_2
34.453835	35.42987	bin_5
18.166264	24.329248	bin_3
-54.71881	13.426939	bin_1
-9.603888	-30.30417	bin_2
-65.00736	-3.15772	bin_4
10.277434	-25.298798	bin_6
4.1654487	-47.527588	bin_7
35.353172	37.645477	bin_5
-2.3531759	-28.98109	bin_2
18.095688	24.426918	bin_3
33.24952	43.17193	bin_5
-4.660905	-32.06136	bin_2
-68.99956	-5.684949	bin_4
-56.39956	11.742361	bin_1
10.883239	-26.385214	bin_6
3.3330474	-45.220562	bin_7
33.185513	33.910934	bin_5
21.398209	23.268383	bin_3
-4.2553916	-27.26385	bin_2
33.783054	38.581802	bin_5
-6.30431	-36.513264	bin_2
